SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.104,0.8959999999999999,196653,12.347,0.586,1,0.0,10,0.79,-6.687,0,100,2019-12-06,9,0.0559,116.971,4,0.642,1
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,0.0706,0.6759999999999999,237735,23.555,0.609,1,0.0,2,0.152,-5.831,0,96,2020-01-10,9,0.481,142.037,4,0.508,1
spotify:track:7FIWs0pqAYbP91WWM0vlTQ,0.145,0.8079999999999999,210800,3.98,0.745,1,0.0,10,0.292,-5.26,0,95,2020-01-17,14,0.342,165.995,4,0.8290000000000001,1
spotify:track:21jGcNKet2qwijlDFuPiPb,0.192,0.695,215280,34.251999999999995,0.762,0,0.00244,0,0.0863,-3.497,1,95,2019-09-06,9,0.0395,120.042,4,0.5529999999999999,1
spotify:track:2b8fOow8UzyDFAE27YhOZM,0.8370000000000001,0.764,189486,12.017000000000001,0.32,0,0.0,11,0.0822,-7.209,1,95,2019-09-20,8,0.0546,91.019,4,0.575,1
spotify:track:2wrJq5XKLnmhRXHIAf9xBa,0.153,0.654,167693,29.559,0.63,0,0.0,10,0.111,-4.644,1,89,2019-10-04,7,0.0259,89.991,4,0.43,1
spotify:track:2XU0oxnq2qxCpomAAuJY8K,0.6920000000000001,0.8240000000000001,209438,11.552,0.588,0,0.000104,6,0.149,-6.4,0,98,2019-10-17,11,0.0924,98.027,4,0.513,1
spotify:track:7qEHsqek33rTcFNT9PFqLf,0.7509999999999999,0.501,182161,22.145,0.405,0,0.0,1,0.105,-5.6789999999999985,1,93,2019-05-17,10,0.0319,109.891,4,0.446,1
spotify:track:696DnlkuDOXcMAnKlTgXXK,0.0522,0.621,163636,15.621000000000002,0.601,1,0.0,6,0.46,-5.6160000000000005,0,97,2019-10-10,8,0.14800000000000002,116.735,5,0.457,1
spotify:track:4l0Mvzj72xxOpRrp6h8nHi,0.556,0.488,206459,22.08,0.343,0,0.0,4,0.21,-8.985,1,91,2020-01-10,12,0.0436,102.819,4,0.0978,1
spotify:track:41L3O37CECZt3N7ziG2z7l,0.366,0.687,210427,24.186,0.514,0,0.0,9,0.116,-6.612,0,96,2020-01-03,8,0.0897,145.921,4,0.494,1
spotify:track:3Yh9lZcWyKrK9GjbhuS0hR,0.256,0.682,159736,53.151,0.919,0,0.0,0,0.442,-3.18,0,80,2016-03-09,7,0.0875,95.982,4,0.535,1
spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,0.189,0.769,159715,6.470999999999999,0.787,1,0.0,11,0.129,-3.909,1,91,2019-09-27,5,0.3670000000000001,126.77,4,0.836,1
spotify:track:3QzAOrNlsabgbMwlZt7TAY,0.392,0.809,180435,14.309000000000001,0.545,1,0.0,7,0.151,-6.678,1,90,2019-06-28,10,0.0735,97.008,4,0.244,1
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.0125,0.794,183290,4.6160000000000005,0.7929999999999999,0,0.0,11,0.0952,-4.521,0,97,2019-10-31,7,0.0842,123.941,4,0.677,1
spotify:track:4wNIkl5XGiAACjFBlDWuSd,0.00839,0.852,180645,45.68899999999999,0.698,0,1.03e-06,9,0.0773,-7.206,1,89,2020-01-17,7,0.0629,113.039,4,0.324,1
spotify:track:3eekarcy7kvN4yt5ZFzltW,0.0546,0.598,175721,14.080000000000002,0.4270000000000001,1,5.83e-06,7,0.21,-8.764,0,90,2019-10-04,8,0.0317,76.469,4,0.0605,1
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,0.853,0.794,342040,12.932,0.32,0,0.134,1,0.112,-12.92,0,83,2020-01-17,19,0.173,174.088,4,0.241,1
spotify:track:57vxBYXtHMk6H1aD29V7PU,0.00632,0.531,200080,14.98,0.75,1,7.6e-05,10,0.117,-5.831,0,88,2019-11-27,9,0.111,169.954,4,0.198,1
