SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:5HXGOD7FKB8jEqqCpPLngE,0.9470000000000001,0.7140000000000001,44400,2.4480000000000004,0.45299999999999996,0,0.897,10,0.0838,-12.522,1,1,2012-04-16,2,0.0765,124.01100000000001,1,0.0491,0
spotify:track:6DEtBZZbGusw8yF9PNxnaT,0.92,0.604,188787,8.461,0.18600000000000003,0,0.185,1,0.0741,-12.449000000000002,1,12,2010-05-04,11,0.035,104.111,4,0.43200000000000005,0
spotify:track:74Cm4FPiMcTjJHtKnTArTS,0.977,0.267,52627,17.198,0.158,0,0.96,9,0.126,-15.870999999999999,0,2,2006-03-28,4,0.0336,66.014,4,0.152,0
spotify:track:49OsZMSI1XNZ1XLzKL6u2l,0.00911,0.8690000000000001,154373,8.625000000000002,0.353,0,0.8809999999999999,9,0.174,-11.385,1,0,2019-02-11,7,0.0618,120.036,4,0.132,0
spotify:track:1tWySbqXOyjbh1nV9Mtytv,0.000722,0.354,206262,2.161,0.9940000000000001,1,1.7100000000000002e-05,9,0.0568,-4.553999999999999,0,0,2000-01-25,10,0.0981,96.32,4,0.17300000000000001,0
spotify:track:29W6zibRPNTXpZLJIIIz8I,0.125,0.335,174000,21.422,0.547,0,0.6859999999999999,2,0.115,-13.162,1,24,2018-06-15,5,0.0548,100.09200000000001,4,0.0575,0
spotify:track:44gWuvYL5t70AnJTnzFHKa,0.0538,0.35200000000000004,182653,5.314,0.98,0,0.37,4,0.11900000000000001,-1.8869999999999998,0,0,2007-06-04,8,0.0999,130.74200000000002,4,0.231,0
spotify:track:0SZC3g725xIj6Ek62Xo23B,0.0005549999999999999,0.257,185397,8.099,0.948,1,0.0,4,0.171,-3.446,1,0,2014-10-31,10,0.185,142.222,4,0.371,0
spotify:track:5lL193jtjXne0xM83ZICc3,0.00018,0.8190000000000001,194480,8.006,0.36,0,0.9079999999999999,2,0.0988,-14.954,1,0,2014-06-03,10,0.0807,127.975,4,0.787,0
spotify:track:6cxQL0iNdTPW1gVopjOigy,0.8290000000000001,0.7909999999999999,192227,23.186000000000003,0.272,0,0.899,0,0.102,-16.506,1,0,2010-11-08,12,0.0325,108.17299999999999,4,0.40700000000000003,0
spotify:track:1m7htett3rX5l516pxzU6c,0.778,0.563,26297,0.5409999999999995,0.423,0,0.0,7,0.358,-7.524,1,17,2017-06-02,2,0.0493,60.21,4,0.737,0
spotify:track:029J3sCuaoM4IbNc3sFQpO,0.723,0.6809999999999999,211743,3.2510000000000003,0.523,0,0.0,2,0.322,-7.132999999999999,1,0,2017-10-27,10,0.0382,109.98200000000001,4,0.63,0
spotify:track:5mv7uZRHAQwb5j09vok7bs,0.74,0.285,202057,11.993,0.41700000000000004,0,0.858,11,0.11699999999999999,-11.158,0,0,2015-03-19,8,0.0322,119.066,4,0.0794,0
spotify:track:3mfQOvBi9GjRjepnL8Ru8q,0.193,0.775,46747,1.032,0.593,0,0.0,11,0.281,-7.56,0,0,2007-08-09,3,0.165,106.865,4,0.91,0
spotify:track:6qtuHSq5Drq9UkcaUpZLqZ,0.9,0.54,128712,9.663,0.33399999999999996,0,0.946,10,0.10099999999999999,-9.036,0,6,2019-09-25,5,0.0413,164.94099999999997,4,0.611,0
spotify:track:3eJODktYkfRxWrhrAFYABy,0.00331,0.318,184163,7.4529999999999985,0.9670000000000001,1,0.0437,7,0.07200000000000001,-3.205,0,0,2000-01-25,7,0.24600000000000002,183.717,4,0.5670000000000001,0
spotify:track:0kpuSjnBEc49QBEHRLgvo4,1.07e-05,0.39399999999999996,145733,16.269000000000002,0.9520000000000001,1,0.8390000000000001,2,0.366,-5.336,1,27,2013-11-12,6,0.0398,139.274,4,0.5379999999999999,0
spotify:track:1UZem3s7e6Mnwq22Deq3v8,0.395,0.3,153547,15.78,0.273,0,0.0937,7,0.29,-12.383,1,0,2016-10-28,6,0.0382,119.54,4,0.135,0
spotify:track:0hsr2qKIbrJ9DRoqjwEl6A,0.361,0.769,141207,6.132000000000001,0.935,0,0.753,10,0.11900000000000001,-8.649,0,0,2018-05-28,6,0.251,164.433,4,0.917,0
spotify:track:6fM7HJryiyfboKgHQ5UmaH,0.0985,0.594,169536,2.0280000000000005,0.475,1,0.0,1,0.326,-8.575,0,0,2019-02-08,9,0.21600000000000003,76.233,3,0.565,0
spotify:track:7M0DJ8NLYzLkt9Y46eikCh,0.192,0.387,284661,18.444000000000006,0.457,0,0.127,2,0.11900000000000001,-11.683,0,0,2019-04-13,13,0.0289,100.59100000000001,4,0.11800000000000001,0
spotify:track:12rpMOeK1wADQKiNxr9f9b,0.9840000000000001,0.307,374706,17.027,0.35100000000000003,0,0.9179999999999999,1,0.16699999999999998,-14.06,1,0,2012-11-18,17,0.0546,128.135,4,0.10300000000000001,0
spotify:track:11Uf6cJ8rJ31zsYHaWP1uR,0.0209,0.502,124467,10.611,0.5720000000000001,0,0.872,7,0.304,-12.207,1,1,2013-08-28,6,0.0359,120.075,4,0.382,0
spotify:track:7CyR8dkIKsRIuPzUe1ynst,0.772,0.15,527933,31.187000000000005,0.055999999999999994,0,0.8009999999999999,0,0.147,-21.294,1,3,2002,25,0.0446,137.79,4,0.0354,0
spotify:track:1SgGf5OoOzrk80WFSWiVI6,0.617,0.36700000000000005,113040,18.692999999999998,0.16699999999999998,0,0.934,2,0.13,-19.16,1,1,2017-05-05,5,0.0396,119.976,3,0.0593,0
spotify:track:3SxbhJw9bCZBBbZGxkszYp,0.000513,0.379,149855,14.681,0.792,0,0.555,0,0.152,-7.656000000000001,0,0,2015,7,0.0385,180.09799999999998,3,0.258,0
spotify:track:5TPeMFOkuRfK8ikKYwnluh,0.32799999999999996,0.423,120000,16.243000000000002,0.35,0,0.08199999999999999,5,0.0881,-12.242,0,1,2020-01-22,4,0.0287,83.804,4,0.496,0
spotify:track:57HKRi4TSkOIhDUoKjwFLk,0.919,0.38799999999999996,134844,20.901999999999997,0.134,0,0.903,5,0.105,-18.308,1,0,2018-07-03,7,0.0407,93.14399999999999,3,0.222,0
spotify:track:4XBa0GtSLYEpZETHsPf4C7,0.905,0.163,143293,23.296,0.114,0,0.787,2,0.14300000000000002,-16.762999999999998,0,0,2001,6,0.0407,103.741,3,0.0396,0
spotify:track:20dHvyzHa7fNRTtFD6hcUa,0.002,0.519,136000,14.575,0.483,0,0.932,1,0.109,-8.683,1,0,2018-12-15,7,0.0336,119.988,4,0.193,0
spotify:track:1vIXp4rlWChyPTSA3ZgsXa,0.675,0.21,452252,37.673,0.57,0,0.934,2,0.0527,-11.610999999999999,0,36,2018-02-16,19,0.126,85.354,3,0.0813,0
spotify:track:0R3GLI0HpKkWViktJugG47,0.0221,0.706,167091,11.124,0.7659999999999999,0,0.905,8,0.064,-10.205,0,0,2010-10-18,7,0.0482,153.334,5,0.544,0
spotify:track:2RFvXBqYZhhtKbUvliv07y,0.48,0.184,155733,29.144,0.0646,0,0.871,11,0.0829,-26.344,1,0,2012-04-25,10,0.0488,66.918,5,0.0331,0
spotify:track:4VGoi3xAxKjjvdrD3Bks0f,0.0466,0.778,47409,3.9090000000000007,0.643,0,0.945,0,0.196,-13.174000000000001,1,0,2019-08-27,3,0.0371,139.89700000000002,4,0.862,0
spotify:track:0INkyBNNtKaUTwGppfEf2I,0.473,0.439,112412,6.2639999999999985,0.5589999999999999,0,0.9309999999999999,5,0.252,-8.766,0,20,2014-04-01,5,0.033,79.987,4,0.23199999999999998,0
spotify:track:3Lny7ArGpLbkOBIpW8ZBee,0.163,0.253,207090,15.652000000000001,0.5760000000000001,0,0.0,2,0.113,-7.0329999999999995,1,0,2012-01-17,10,0.0352,169.40599999999998,3,0.23600000000000002,0
spotify:track:3A5CBdodWr3148UOl33uRc,0.00037,0.478,181263,10.735999999999999,0.9790000000000001,1,7.97e-06,7,0.258,-5.405,1,18,2016-11-08,7,0.157,94.99600000000001,4,0.154,0
spotify:track:5oKR1NK0FAXRdVWgQ45w3r,0.483,0.698,183160,8.463000000000001,0.518,0,0.8540000000000001,7,0.0797,-9.916,0,1,2015-03-07,6,0.0377,120.141,4,0.0398,0
spotify:track:6drD9M5VmiLiNyxN3ikGHM,0.915,0.223,192800,27.944000000000006,0.23,0,0.386,0,0.0873,-15.99,0,1,2008-07-08,9,0.0373,74.85300000000001,4,0.0409,0
spotify:track:6a8Xl9qzeN4kzaN3tnBuXI,0.0152,0.257,177668,56.971,0.557,0,0.0026899999999999997,7,0.0481,-5.81,1,0,2010-11-22,8,0.0314,110.00399999999999,4,0.308,0
spotify:track:3J7DTu2vWCFwWNsher4x3W,0.0471,0.478,291345,10.923000000000002,0.578,0,0.0010400000000000001,5,0.113,-6.1,0,0,2010-07-27,9,0.131,75.979,4,0.377,0
spotify:track:68CCam5GC2Zk78kCdbaL2X,0.821,0.237,110971,23.324,0.22899999999999998,0,0.9390000000000001,8,0.0746,-16.78,0,2,2013-06-04,7,0.0354,70.646,3,0.0644,0
spotify:track:6H8srye30ifmDtaAA8bVLt,0.000301,0.266,180753,10.084,0.6940000000000001,0,0.0004980000000000001,9,0.147,-5.239,1,0,2018-10-31,8,0.0329,76.359,3,0.34600000000000003,0
spotify:track:6fJdX9kGPlYI4zHUZS5iAj,0.544,0.45399999999999996,215293,15.332999999999998,0.499,0,0.0,11,0.153,-8.356,1,0,2011-01-01,7,0.321,77.135,4,0.435,0
spotify:track:05r5OIk1oADT6RIhietXF6,0.0269,0.604,219568,2.503,0.904,0,1.59e-05,11,0.23600000000000002,-3.512,1,17,2017-05-19,9,0.038,98.978,4,0.597,0
spotify:track:736CHIinRfOOBAXKkY7rIH,0.000254,0.38,211739,1.2669999999999997,0.888,1,0.8370000000000001,1,0.29600000000000004,-6.914,1,0,2012-10-08,10,0.0526,149.72799999999998,4,0.6,0
spotify:track:1zYKEPxCAOJPi1VIiUbfmr,0.0912,0.747,219310,15.682,0.789,0,0.000332,0,0.0767,-7.415,1,0,2017-02-08,13,0.0528,115.956,4,0.621,0
spotify:track:4RqBmF498nNUbn30XqEdKo,0.447,0.47600000000000003,284680,12.367,0.81,0,0.0,10,0.1,-6.688,0,0,2011-05-15,13,0.21899999999999997,147.058,3,0.821,0
spotify:track:7AT7Q7WRUcvypCe00OeoWx,0.623,0.46299999999999997,70320,3.5270000000000006,0.825,0,0.429,8,0.17300000000000001,-5.611000000000001,1,4,2010-12-06,4,0.0727,172.498,4,0.823,0
spotify:track:5D0PecvZLN0NSRxxhrEsU0,0.51,0.22,441000,28.757,0.11599999999999999,0,0.875,6,0.136,-28.971999999999998,1,0,2010-11-05,24,0.0646,115.729,4,0.062,0
spotify:track:0WcGwpWDQEBZK1dcR4hhOG,0.138,0.595,145800,10.594000000000001,0.515,0,0.846,6,0.0871,-16.678,0,0,2011-01-01,8,0.0369,104.97399999999999,4,0.231,0
spotify:track:5fwxAhjMztHrszlaTzvR6C,0.8490000000000001,0.597,72613,12.874,0.302,0,1.9e-05,9,0.20600000000000002,-9.985,1,0,2018-05-18,5,0.147,112.035,4,0.8190000000000001,0
spotify:track:6hEgMvGUMHAVi7xsofcBny,0.0894,0.469,392000,39.094,0.521,0,0.862,1,0.159,-9.597999999999999,1,1,2015-06-09,14,0.0321,180.032,4,0.149,0
spotify:track:0ElSXUmyAWkeTiDrMqmzRm,0.000113,0.386,103467,3.207,0.9470000000000001,0,0.8240000000000001,8,0.196,-7.886,1,3,2014-02-10,4,0.0902,128.457,3,0.0362,0
